id,region,distrito,latitud_a,longitud_a
1001,Amazonas, Aramango,-5.4123,-78.43911
2001,Amazonas, Aramango,-5.353548332,-78.43636832999999
3001,Amazonas, Aramango,-5.319083333,-78.43483999999999
4001,Amazonas, Aramango,-5.462448332,-78.45115666
5001,Amazonas, Aramango,-5.459933332,-78.45977499
6001,Amazonas, Aramango,-5.42321,-78.45131000000001
7001,Amazonas, Bagua,-5.63025,-78.52876999999999
8001,Amazonas, Bagua,-5.6398,-78.53433
9001,Amazonas, Bagua,-5.63803,-78.5265
10001,Amazonas, Bagua,-5.63522,-78.52204999999999
11001,Amazonas, Bagua,-5.63024,-78.53677999999999
12001,Amazonas, Bagua,-5.63358,-78.53313
13001,Amazonas, Bagua,-5.63177,-78.52901
14001,Amazonas, Bagua,-5.63828,-78.53122000000001
15001,Amazonas, Bagua,-5.64429,-78.52627
16001,Amazonas, Bagua,-5.64823,-78.50637
17001,Amazonas, Bagua Grande,-5.75373,-78.44332
18001,Amazonas, Bagua Grande,-5.75288,-78.44665999999999
19001,Amazonas, Bagua Grande,-5.75884,-78.4512
20001,Amazonas, Bagua Grande,-5.75939,-78.4545
21001,Amazonas, Bagua Grande,-5.887457129,-78.48841946
22001,Amazonas, Bagua Grande,-5.884896404,-78.46839459
23001,Amazonas, Bagua Grande,-5.830165499,-78.44335577
24001,Amazonas, Bagua Grande,-5.905479999,-78.34206666
25001,Amazonas, Bagua Grande,-5.900936667,-78.29003666
26001,Amazonas, Bagua Grande,-5.88956,-78.32221165999999
27001,Amazonas, Bagua Grande,-5.75587,-78.43458
28001,Amazonas, Bagua Grande,-5.75905,-78.43106
29001,Amazonas, Bagua Grande,-5.76181,-78.43668
30001,Amazonas, Bagua Grande,-5.75745,-78.4436
31001,Amazonas, Bagua Grande,-5.76281,-78.44325000000001
32001,Amazonas, Bagua Grande,-5.775762354,-78.56315999
33001,Amazonas, Cajaruro,-5.745618333,-78.19182666
34001,Amazonas, Cajaruro,-5.787018333,-78.32952333
35001,Amazonas, Cajaruro,-5.852035,-78.20775166
36001,Amazonas, Cajaruro,-5.75298,-78.25349
37001,Amazonas, Cajaruro,-5.69462,-78.27838666
38001,Amazonas, Cajaruro,-5.749691666,-78.27048666
39001,Amazonas, Cajaruro,-5.707408332,-78.30560333
40001,Amazonas, Cajaruro,-5.748036666,-78.28380666
41001,Amazonas, Cajaruro,-5.71519,-78.22857333
42001,Amazonas, Cajaruro,-5.857043332,-78.16941666
43001,Amazonas, Camporredondo,-6.21269,-78.31941000000001
44001,Amazonas, Camporredondo,-6.18981,-78.32672
45001,Amazonas, Camporredondo,-6.19071,-78.32810000000001
46001,Amazonas, Chachapoyas,-6.22332,-77.87383
47001,Amazonas, Chachapoyas,-6.22699,-77.87345000000001
48001,Amazonas, Chachapoyas,-6.22059,-77.86457
49001,Amazonas, Chachapoyas,-6.2334,-77.85319
50001,Amazonas, Chachapoyas,-6.2347,-77.85749
51001,Amazonas, Chachapoyas,-6.23424,-77.87251000000001
52001,Amazonas, Chachapoyas,-6.22679,-77.88038
53001,Amazonas, Chachapoyas,-6.23027,-77.86474
54001,Amazonas, Chachapoyas,-6.23033,-77.87776
55001,Amazonas, Chachapoyas,-6.22562,-77.86897999999999
56001,Amazonas, Chachapoyas,-6.23244,-77.87071
57001,Amazonas, Chachapoyas,-6.23067,-77.87345999999999
58001,Amazonas, Chachapoyas,-6.24057,-77.87505
59001,Amazonas, Chachapoyas,-6.21425,-77.85852
60001,Amazonas, Chirimoto,-6.569575137,-77.39097440000001
61001,Amazonas, Chirimoto,-6.566853294,-77.41270629
62001,Amazonas, Chuquibamba,-6.93543,-77.85692
63001,Amazonas, Chuquibamba,-6.927576666,-77.94194999
64001,Amazonas, Conila,-6.18898,-78.02048000000001
65001,Amazonas, Copallin,-5.67329,-78.41953
66001,Amazonas, Cumba,-5.941948333,-78.55585666
67001,Amazonas, Cumba,-5.955674999,-78.55416833
68001,Amazonas, Cumba,-5.998593333,-78.57031666
69001,Amazonas, Cumba,-5.982266666,-78.53594999000001
70001,Amazonas, Cumba,-5.91334,-78.55963
71001,Amazonas, Cumba,-5.96734,-78.57951
72001,Amazonas, El Cenepa,-4.524319999,-78.17473333
73001,Amazonas, El Cenepa,-4.452963332,-78.19513000000001
74001,Amazonas, El Cenepa,-4.441155,-78.24776666
75001,Amazonas, El Milagro,-5.832151666,-78.64368
76001,Amazonas, El Milagro,-5.748632389,-78.66363616
77001,Amazonas, El Milagro,-5.595241487,-78.57214358
78001,Amazonas, Florida,-5.8237,-77.96544
79001,Amazonas, Imaza,-5.16218,-78.28762999999999
80001,Amazonas, Imaza,-5.0593,-78.33767
81001,Amazonas, Imaza,-5.156495,-78.35154333
82001,Amazonas, Imaza,-5.181255,-78.38184
83001,Amazonas, Imaza,-5.137774999,-78.32104333
84001,Amazonas, Imaza,-5.076203333,-78.30026999
85001,Amazonas, Imaza,-5.070163333,-78.30210166000001
86001,Amazonas, Jamalca,-5.906796666,-78.26600833000001
87001,Amazonas, Jamalca,-5.827328333,-78.27075999
88001,Amazonas, Jamalca,-5.8949,-78.23761
89001,Amazonas, Jazan,-5.94033,-77.97468000000001
90001,Amazonas, Jazan,-5.94539,-77.97895
91001,Amazonas, La Peca,-5.60924,-78.43556
92001,Amazonas, La Peca,-5.6104,-78.43504
93001,Amazonas, La Peca,-5.576891666,-78.46370666
94001,Amazonas, La Peca,-5.554626667,-78.48208333
95001,Amazonas, La Peca,-5.60861,-78.43817
96001,Amazonas, Lamud,-6.14474,-77.95406
97001,Amazonas, Leimebamba,-6.70915,-77.80450999999999
98001,Amazonas, Levanto,-6.307945,-77.90570166000001
99001,Amazonas, Longar,-6.38956321,-77.57858458
100001,Amazonas, Longar,-6.38305,-77.54486
101001,Amazonas, Longuita,-6.395021666,-77.98688333
102001,Amazonas, Longuita,-6.424111667,-77.97030499
103001,Amazonas, Longuita,-6.392901666,-77.98559833
104001,Amazonas, Lonya Chico,-6.23365,-77.95629
105001,Amazonas, Lonya Grande,-6.0963,-78.42386000000001
106001,Amazonas, Lonya Grande,-6.05847,-78.40409
107001,Amazonas, Luya,-6.1635,-77.94235999999999
108001,Amazonas, Magdalena,-6.3762,-77.90173
109001,Amazonas, Nieva,-4.71131,-77.89475333
110001,Amazonas, Nieva,-4.787208333,-77.95515833
111001,Amazonas, Nieva,-4.788368333,-77.9205
112001,Amazonas, Nieva,-4.834528333,-77.95110999000001
113001,Amazonas, Nieva,-4.716103332,-78.05694665999999
114001,Amazonas, Nieva,-5.126936448,-77.97037664
115001,Amazonas, Nieva,-5.120506666,-77.95144666
116001,Amazonas, Omia,-6.406049975,-77.33395998
117001,Amazonas, Omia,-6.42443382,-77.3304448
118001,Amazonas, Pisuquia,-6.422458663,-78.07416527
119001,Amazonas, Pisuquia,-6.413999975,-78.07000998
120001,Amazonas, Pisuquia,-6.399489974,-78.07670998
121001,Amazonas, Quinjalca,-6.048369973,-77.70400998
122001,Amazonas, Quinjalca,-6.040579974,-77.70910997999999
123001,Amazonas, Río Santiago,-4.06096,-77.75824
124001,Amazonas, Río Santiago,-3.185021667,-77.79976833000001
125001,Amazonas, Río Santiago,-3.273131667,-77.88074166
126001,Amazonas, Río Santiago,-4.01734,-77.76022
127001,Amazonas, Río Santiago,-3.724951667,-77.705365
128001,Amazonas, Río Santiago,-3.785271666,-77.73482333
129001,Amazonas, Río Santiago,-3.698446667,-77.78327166
130001,Amazonas, Río Santiago,-3.680876667,-77.75853333000001
131001,Amazonas, San Francisco de Ye,-6.716769999,-77.85448166000001
132001,Amazonas, San Francisco de Ye,-6.694259999,-77.80784998999999
133001,Amazonas, San Isidro de Maino,-6.33715,-77.88115000000001
134001,Amazonas, San Jerónimo,-5.922839974,-78.07894998
135001,Amazonas, San Nicolás,-6.39732,-77.47919
136001,Amazonas, San Nicolás,-6.39612,-77.48266
137001,Amazonas, Santa Catalina,-6.017979999,-78.14745333000001
138001,Amazonas, Santa Catalina,-6.039906667,-78.16077498999999
139001,Amazonas, Santa Catalina,-6.047119975,-78.05893998000001
140001,Amazonas, Santa Catalina,-6.036775,-78.13856499000001
