;disaster_type;disaster_name;pcode;# of damaged houses;# of affected people;pcode_parent;# of affected people;# of damaged houses;land_area;# of hit distritos
;Flood;Total;110305;66;184;1103;30838;7709.5;1069.4615149759;2
;Flood;Total;090703;56;300;0907;14952;3738;326.084915529513;3
;Flood;Total;151009;0;0;1510;1194;298.5;212.430806388443;1
;Flood;Total;160603;1313;7404;1606;30388;7597;9743.14183991969;4
;Flood;Total;120304;3;13;1203;7233;1808.25;155.747133595511;1
;Flood;Total;200203;4;20;2002;2775;693.75;98.3775194341528;1
;Flood;Total;090206;5;17;0902;73426;18356.5;441.631715522266;2
;Flood;Total;211307;153;740;2113;7648;1912;9.71617134283066;2
;Flood;Total;160506;5815;19003;1605;36102;9025.5;37756.9094060406;6
;Flood;Total;100803;45;270;1008;14840;3710;235.884623529586;1
;Flood;Total;110105;500;2500;1101;6729;1682.25;41.1052766952844;1
;Flood;Total;210303;6;32;2103;23950;5987.5;4098.95491215555;2
;Flood;Total;100102;14;45;1001;210858;52714.5;409.196933167822;3
;Flood;Total;010112;0;0;0101;795;198.75;133.621501029003;1
;Flood;Total;150722;17;102;1507;10034;2508.5;830.569835420411;2
;Flood;Total;130101;1605;5768;1301;318914;79728.5;38.8696390433135;1
;Flood;Total;120101;120;800;1201;350859;87714.75;681.699191143938;3
;Flood;Total;100104;14;70;1001;29599;7399.75;548.915396558856;1
;Flood;Total;150118;139;556;1501;218976;54744;244.630540592163;1
;Flood;Total;220203;329;1563;2202;96675;24168.75;5617.07065659883;5
;Flood;Total;030303;14;41;0303;1571;392.75;351.667659762478;1
;Flood;Total;160102;95;532;1601;8352;2088;43693.9347938156;3
;Flood;Total;211101;25;101;2111;1113776;278444;2138.88529786561;4
;Flood;Total;220804;79;882;2208;180964;45241;1340.20232128558;4
;Flood;Total;090108;24;144;0901;879;219.75;12.8883786523294;1
;Flood;Total;221001;612;4501;2210;227439;56859.75;10002.5333273274;9
;Flood;Total;220910;40;240;2209;29302;7325.5;50.0041677848883;1
;Flood;Total;170101;1238;5366;1701;1018914;254728.5;269006.713934498;13
;Flood;Total;110207;80;400;1102;183234;45808.5;629.510654500653;3
;Flood;Total;080701;68;1023;0807;106256;26564;7627.39016888115;4
;Flood;Total;151029;0;0;1510;428;107;530.54056238134;1
;Flood;Total;040413;0;0;0404;14432;3608;1379.68197290637;2
;Flood;Total;250204;118;259;2502;5174;1293.5;18057.5235910665;2
;Flood;Total;160301;14136;44138;1603;150430;37607.5;33802.5016897463;5
;Flood;Total;030703;6;27;0307;3985;996.25;351.588919913493;1
;Flood;Total;210213;187;935;2102;4325;1081.25;104.922737990376;1
;Flood;Total;010701;10;14;0107;160611;40152.75;2181.45171244634;3
;Flood;Total;210104;176;880;2101;5653;1413.25;131.532433770884;1
;Flood;Total;110504;16;64;1105;14390;3597.5;270.572908157054;1
;Flood;Total;090705;1;11;0907;75208;18802;2326.85848195021;4
;Flood;Total;030502;2;9;0305;4237;1059.25;327.33013882261;1
;Flood;Total;160201;5012;21961;1602;793870;198467.5;31332.6328514709;11
;Flood;Total;220202;37;157;2202;14030;3507.5;11949.2649812067;2
;Flood;Total;080907;58;518;0809;16865;4216.25;989.460023505307;1
;Flood;Total;200302;20;100;2003;8235;2058.75;310.906384658286;1
;Flood;Total;120905;3;78;1209;11824;2956;26.8053405056572;2
;Flood;Total;090101;35;188;0901;363105;90776.25;4580.61190477237;9
;Flood;Total;210701;682;3332;2107;20840;5210;1321.05235717159;2
;Flood;Total;080403;0;300;0804;11536;2884;190.247382025318;2
;Flood;Total;040107;10;49;0401;48326;12081.5;19.9878803882892;1
;Flood;Total;081105;0;77;0811;7634;1908.5;145.263850004045;1
;Flood;Total;120302;75;361;1203;672291;168072.75;13765.9979103307;9
